start hour,end hour,t+0,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12,t+13,t+14,t+15,t+16,t+17,t+18,t+19,t+20,t+21,t+22,t+23
94,117,0.28421914481461363,0.13335010355520605,0.24715908864054925,0.5622336632130995,0.19466145961614378,0.0568477746264634,0.05172822017407808,0.31679095751289577,0.271839484193807,0.11162405320134328,0.14997632857573917,0.4375443865948654,0.26710464202246076,0.16702177810951024,0.4364346618425541,0.08312618381939685,0.05288233901890249,0.0625,0.0625,0.0625,0.3277698889372447,0.5137310601119449,0.4151673003943699,0.17844460415467123
96,119,0.24715908864054925,0.5622336632130995,0.19466145961614378,0.0568477746264634,0.05172822017407808,0.31679095751289577,0.271839484193807,0.11162405320134328,0.14997632857573917,0.4375443865948654,0.26710464202246076,0.16702177810951024,0.4364346618425541,0.08312618381939685,0.05288233901890249,0.0625,0.0625,0.0625,0.3277698889372447,0.5137310601119449,0.4151673003943699,0.17844460415467123,0.1698626876037137,0.48393702543159645
98,121,0.19466145961614378,0.0568477746264634,0.05172822017407808,0.31679095751289577,0.271839484193807,0.11162405320134328,0.14997632857573917,0.4375443865948654,0.26710464202246076,0.16702177810951024,0.4364346618425541,0.08312618381939685,0.05288233901890249,0.0625,0.0625,0.0625,0.3277698889372447,0.5137310601119449,0.4151673003943699,0.17844460415467123,0.1698626876037137,0.48393702543159645,0.7980113632594792,0.6591205013950736
100,123,0.05172822017407808,0.31679095751289577,0.271839484193807,0.11162405320134328,0.14997632857573917,0.4375443865948654,0.26710464202246076,0.16702177810951024,0.4364346618425541,0.08312618381939685,0.05288233901890249,0.0625,0.0625,0.0625,0.3277698889372447,0.5137310601119449,0.4151673003943699,0.17844460415467123,0.1698626876037137,0.48393702543159645,0.7980113632594792,0.6591205013950736,0.18400804767455714,0.6491921122721462
102,125,0.271839484193807,0.11162405320134328,0.14997632857573917,0.4375443865948654,0.26710464202246076,0.16702177810951024,0.4364346618425541,0.08312618381939685,0.05288233901890249,0.0625,0.0625,0.0625,0.3277698889372447,0.5137310601119449,0.4151673003943699,0.17844460415467123,0.1698626876037137,0.48393702543159645,0.7980113632594792,0.6591205013950736,0.18400804767455714,0.6491921122721462,0.019255050609075064,0.032591540538072006
104,127,0.14997632857573917,0.4375443865948654,0.26710464202246076,0.16702177810951024,0.4364346618425541,0.08312618381939685,0.05288233901890249,0.0625,0.0625,0.0625,0.3277698889372447,0.5137310601119449,0.4151673003943699,0.17844460415467123,0.1698626876037137,0.48393702543159645,0.7980113632594792,0.6591205013950736,0.18400804767455714,0.6491921122721462,0.019255050609075064,0.032591540538072006,0.04715909104352278,0.06316287882308691
106,129,0.26710464202246076,0.16702177810951024,0.4364346618425541,0.08312618381939685,0.05288233901890249,0.0625,0.0625,0.0625,0.3277698889372447,0.5137310601119449,0.4151673003943699,0.17844460415467123,0.1698626876037137,0.48393702543159645,0.7980113632594792,0.6591205013950736,0.18400804767455714,0.6491921122721462,0.019255050609075064,0.032591540538072006,0.04715909104352278,0.06316287882308691,0.07916666660265137,0.07124467340685547
108,131,0.4364346618425541,0.08312618381939685,0.05288233901890249,0.0625,0.0625,0.0625,0.3277698889372447,0.5137310601119449,0.4151673003943699,0.17844460415467123,0.1698626876037137,0.48393702543159645,0.7980113632594792,0.6591205013950736,0.18400804767455714,0.6491921122721462,0.019255050609075064,0.032591540538072006,0.04715909104352278,0.06316287882308691,0.07916666660265137,0.07124467340685547,0.18786497719062178,0.45209418390887524
110,133,0.05288233901890249,0.0625,0.0625,0.0625,0.3277698889372447,0.5137310601119449,0.4151673003943699,0.17844460415467123,0.1698626876037137,0.48393702543159645,0.7980113632594792,0.6591205013950736,0.18400804767455714,0.6491921122721462,0.019255050609075064,0.032591540538072006,0.04715909104352278,0.06316287882308691,0.07916666660265137,0.07124467340685547,0.18786497719062178,0.45209418390887524,0.7163233906271289,0.9202178009238118
112,135,0.0625,0.0625,0.3277698889372447,0.5137310601119449,0.4151673003943699,0.17844460415467123,0.1698626876037137,0.48393702543159645,0.7980113632594792,0.6591205013950736,0.18400804767455714,0.6491921122721462,0.019255050609075064,0.032591540538072006,0.04715909104352278,0.06316287882308691,0.07916666660265137,0.07124467340685547,0.18786497719062178,0.45209418390887524,0.7163233906271289,0.9202178009238118,0.40009469369292416,0.7857111134247587
